"code","long_description","medium_description","short_description"
"1140","Anesthesia for interpelviabdominal (hindquarter) amputation","ANESTHESIA INTERPELVI ABDOMINAL AMPUTATION","ANESTH AMPUTATION AT PELVIS"
"1150","Anesthesia for radical procedures for tumor of pelvis, except hindquarter amputation","ANES RADICAL TUMOR PELVIS XCP HINDQUARTER AMP","ANESTH PELVIC TUMOR SURGERY"
"1160","Anesthesia for closed procedures involving symphysis pubis or sacroiliac joint","ANES CLOSED SYMPHYSIS PUBIS/SACROILIAC JOINT","ANESTH PELVIS PROCEDURE"
"1170","Anesthesia for open procedures involving symphysis pubis or sacroiliac joint","ANES OPEN SYMPHYSIS PUBIS/SACROILIAC JOINT","ANESTH PELVIS SURGERY"
"1173","Anesthesia for open repair of fracture disruption of pelvis or column fracture involving acetabulum","ANES OPN RPR DISRPJ PELVIS/COLUMN FX ACETABULUM","ANESTH FX REPAIR PELVIS"
"1180","Anesthesia for obturator neurectomy; extrapelvic","ANESTHESIA OBTURATOR NEURECTOMY EXTRAPELVIC","ANESTH PELVIS NERVE REMOVAL"
"1190","Anesthesia for obturator neurectomy; intrapelvic","ANESTHESIA OBTURATOR NEURECTOMY INTRAPELVIC","ANESTH PELVIS NERVE REMOVAL"
"1200","Anesthesia for all closed procedures involving hip joint","ANESTHESIA CLOSED HIP JOINT PROCEDURE","ANESTH HIP JOINT PROCEDURE"
"1202","Anesthesia for arthroscopic procedures of hip joint","ANESTHESIA ARTHROSCOPIC HIP JOINT PROCEDURE","ANESTH ARTHROSCOPY OF HIP"
"1210","Anesthesia for open procedures involving hip joint; not otherwise specified","ANESTHESIA OPEN HIP JOINT PROCEDURE NOS","ANESTH HIP JOINT SURGERY"
"1212","Anesthesia for open procedures involving hip joint; hip disarticulation","ANESTHESIA OPEN HIP JOINT DISARTICULATION","ANESTH HIP DISARTICULATION"
"1214","Anesthesia for open procedures involving hip joint; total hip arthroplasty","ANESTHESIA OPEN TOTAL HIP ARTHROPLASTY","ANESTH HIP ARTHROPLASTY"
"1215","Anesthesia for open procedures involving hip joint; revision of total hip arthroplasty","ANESTHESIA OPEN REVISION TOTAL HIP ARTHROPLASTY","ANESTH REVISE HIP REPAIR"
"1220","Anesthesia for all closed procedures involving upper two-thirds of femur","ANESTHESIA CLOSED PROCEDURES UPPER 2/3 FEMUR","ANESTH PROCEDURE ON FEMUR"
"1230","Anesthesia for open procedures involving upper two-thirds of femur; not otherwise specified","ANESTHESIA OPEN PROCEDURES UPPER 2/3 FEMUR NOS","ANESTH SURGERY OF FEMUR"
"1232","Anesthesia for open procedures involving upper two-thirds of femur; amputation","ANESTHESIA UPPER 2/3 FEMUR AMPUTATION","ANESTH AMPUTATION OF FEMUR"
"1234","Anesthesia for open procedures involving upper two-thirds of femur; radical resection","ANES UPPER 2/3 FEMUR RADICAL RESCECTION","ANESTH RADICAL FEMUR SURG"
"1250","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of upper leg","ANES NERVE MUSC TENDON FASCIA&BURSAE UPPER LEG","ANESTH UPPER LEG SURGERY"
"1260","Anesthesia for all procedures involving veins of upper leg, including exploration","ANES VEINS OF UPPER LEG INCLUDING EXPLORATION","ANESTH UPPER LEG VEINS SURG"
"1270","Anesthesia for procedures involving arteries of upper leg, including bypass graft; not otherwise specified","ANESTHESIA ARTERIES UPPER LEG INCL BYPASS GRAFT","ANESTH THIGH ARTERIES SURG"
"1272","Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery ligation","ANES ART UPPER LEG W/BYPASS GRAFT FEM ART LIG","ANESTH FEMORAL ARTERY SURG"
"1274","Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery embolectomy","ANES UPPER LEG W/BYPASS GRFT FEM ART EMBOLECTOMY","ANESTH FEMORAL EMBOLECTOMY"
"1320","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of knee and/or popliteal area","ANES NERVE MUSC TENDON FSCA&BRS KNEE&/POP AREA","ANESTH KNEE AREA SURGERY"
"1340","Anesthesia for all closed procedures on lower one-third of femur","ANESTHESIA CLOSED PROCEDURES LOWER 1/3 FEMUR","ANESTH KNEE AREA PROCEDURE"
"1360","Anesthesia for all open procedures on lower one-third of femur","ANESTHESIA OPEN PROCEDURES LOWER 1/3 FEMUR","ANESTH KNEE AREA SURGERY"
"1380","Anesthesia for all closed procedures on knee joint","ANESTHESIA CLOSED PROCEDURES KNEE JOINT","ANESTH KNEE JOINT PROCEDURE"
"1382","Anesthesia for diagnostic arthroscopic procedures of knee joint","ANESTH DIAGNOSTIC ARTHROSCOPIC PROC KNEE JOINT","ANESTH DX KNEE ARTHROSCOPY"
"1390","Anesthesia for all closed procedures on upper ends of tibia, fibula, and/or patella","ANES CLOSED PROC UPPER END TIBIA FIBULA&/PATELLA","ANESTH KNEE AREA PROCEDURE"
"1392","Anesthesia for all open procedures on upper ends of tibia, fibula, and/or patella","ANES OPEN PROC UPPER ENDS TIBIA FIBULA&/PATELLA","ANESTH KNEE AREA SURGERY"
"1400","Anesthesia for open or surgical arthroscopic procedures on knee joint; not otherwise specified","ANES OPEN/SURG ARTHROSCOPIC PROC KNEE JOINT NOS","ANESTH KNEE JOINT SURGERY"
"1402","Anesthesia for open or surgical arthroscopic procedures on knee joint; total knee arthroplasty","ANESTH OPEN/SURG ARTHRS TOTAL KNEE ARTHROPLASTY","ANESTH KNEE ARTHROPLASTY"
"1404","Anesthesia for open or surgical arthroscopic procedures on knee joint; disarticulation at knee","ANESTH OPEN/SURG ARTHRS KNEE DISARTICULATION","ANESTH AMPUTATION AT KNEE"
"1420","Anesthesia for all cast applications, removal, or repair involving knee joint","ANES CAST APPLICATION REMOVAL/REPAIR KNEE JOINT","ANESTH KNEE JOINT CASTING"
"1430","Anesthesia for procedures on veins of knee and popliteal area; not otherwise specified","ANESTHESIA VEINS KNEE & POPLITEAL AREA NOS","ANESTH KNEE VEINS SURGERY"
"1432","Anesthesia for procedures on veins of knee and popliteal area; arteriovenous fistula","ANES KNEE & POPLITEAL ARTERY VEIN FISTULA NOS","ANESTH KNEE VESSEL SURG"
"1440","Anesthesia for procedures on arteries of knee and popliteal area; not otherwise specified","ANES ARTERIES OF KNEE & POPLITEAL AREA NOS","ANESTH KNEE ARTERIES SURG"
"1442","Anesthesia for procedures on arteries of knee and popliteal area; popliteal thromboendarterectomy, with or without patch graft","ANES ART KNEE POPLITEAL TEAEC W/WO PATCH GRAFT","ANESTH KNEE ARTERY SURG"
"1444","Anesthesia for procedures on arteries of knee and popliteal area; popliteal excision and graft or repair for occlusion or aneurysm","ANES ART KNEE POPLITEAL EXC&GRF/RPR OCCLS/ARYSM","ANESTH KNEE ARTERY REPAIR"
"1462","Anesthesia for all closed procedures on lower leg, ankle, and foot","ANESTHESIA CLOSED PROC LOWER LEG ANKLE & FOOT","ANESTH LOWER LEG PROCEDURE"
"1464","Anesthesia for arthroscopic procedures of ankle and/or foot","ANESTHESIA ARTHROSCOPIC PROCEDURE ANKLE &/FOOT","ANESTH ANKLE/FT ARTHROSCOPY"
"1470","Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; not otherwise specified","ANES NRV/MUS/TND/FASC LOWER LEG/ANKLE/FOOT NOS","ANESTH LOWER LEG SURGERY"
"1472","Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; repair of ruptured Achilles tendon, with or without graft","ANES RPR RUPTURED ACHILLES TENDON W/WO GRAFT","ANESTH ACHILLES TENDON SURG"
"1474","Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; gastrocnemius recession (eg, Strayer procedure)","ANESTHESIA GASTROCNEMIUS RECESSION","ANESTH LOWER LEG SURGERY"
"1480","Anesthesia for open procedures on bones of lower leg, ankle, and foot; not otherwise specified","ANES OPEN PROC BONES LOWER LEG/ANKLE/FOOT NOS","ANESTH LOWER LEG BONE SURG"
"1482","Anesthesia for open procedures on bones of lower leg, ankle, and foot; radical resection (including below knee amputation)","ANES RADICAL RESECJ INCL BELOW KNEE AMPUTATION","ANESTH RADICAL LEG SURGERY"
"1484","Anesthesia for open procedures on bones of lower leg, ankle, and foot; osteotomy or osteoplasty of tibia and/or fibula","ANES OPEN OSTEOTOMY/OSTEOPLASTY TIBIA&/FIBULA","ANESTH LOWER LEG REVISION"
"1486","Anesthesia for open procedures on bones of lower leg, ankle, and foot; total ankle replacement","ANESTHESIA OPEN TOTAL ANKLE REPLACEMENT","ANESTH ANKLE REPLACEMENT"
"1490","Anesthesia for lower leg cast application, removal, or repair","ANES LOWER LEG CAST APPLICATION REMOVAL/REPAIR","ANESTH LOWER LEG CASTING"
"1500","Anesthesia for procedures on arteries of lower leg, including bypass graft; not otherwise specified","ANESTHESIA ARTERIES LOWER LEG W/BYPASS GRAFT NOS","ANESTH LEG ARTERIES SURG"
"1502","Anesthesia for procedures on arteries of lower leg, including bypass graft; embolectomy, direct or with catheter","ANES ART LOWER LEG W/BYP GRAFT EMBLC DIR/W/CATH","ANESTH LWR LEG EMBOLECTOMY"
"1520","Anesthesia for procedures on veins of lower leg; not otherwise specified","ANESTHESIA VEINS OF LOWER LEG NOS","ANESTH LOWER LEG VEIN SURG"
"1522","Anesthesia for procedures on veins of lower leg; venous thrombectomy, direct or with catheter","ANES VEINS LOWER LEG VENOUS THRMBC DIR/W/CATH","ANESTH LOWER LEG VEIN SURG"
"1610","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of shoulder and axilla","ANES NRV MUSC TNDN FSCA&BURSA SHOULDER & AXILLA","ANESTH SURGERY OF SHOULDER"
"1620","Anesthesia for all closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint","ANES CLOSED HUMRL H/N STRNCLAV JOINT&SHO JOINT","ANESTH SHOULDER PROCEDURE"
"1622","Anesthesia for diagnostic arthroscopic procedures of shoulder joint","ANES DIAG ARTHROSCOPIC SHOULDER JOINT PROC NOS","ANES DX SHOULDER ARTHROSCOPY"
"1630","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; not otherwise specified","ANES ARTHRS HUMERAL H/N STRNCLAV&SHOULDER NOS","ANESTH SURGERY OF SHOULDER"
"1634","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; shoulder disarticulation","ANESTHESIA ARTHROSCOPIC SHOULDER DISARTICULATION","ANESTH SHOULDER JOINT AMPUT"
"1636","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; interthoracoscapular (forequarter) amputation","ANES ARTHRS INTERTHORACOSCAPULAR AMPUTATION","ANESTH FOREQUARTER AMPUT"
"1638","Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; total shoulder replacement","ANES ARTHROSCOPIC TOTAL SHOULDER REPLACEMENT","ANESTH SHOULDER REPLACEMENT"
"1650","Anesthesia for procedures on arteries of shoulder and axilla; not otherwise specified","ANESTHESIA ARTERIES SHOULDER & AXILLA NOS","ANESTH SHOULDER ARTERY SURG"
"1652","Anesthesia for procedures on arteries of shoulder and axilla; axillary-brachial aneurysm","ANESTHESIA AXILLARY-BRACHIAL ANEURYSM","ANESTH SHOULDER VESSEL SURG"
"1654","Anesthesia for procedures on arteries of shoulder and axilla; bypass graft","ANES ARTERIES SHOULDER & AXILLA BYPASS GRAFT","ANESTH SHOULDER VESSEL SURG"
"1656","Anesthesia for procedures on arteries of shoulder and axilla; axillary-femoral bypass graft","ANESTHESIA AXILLARY-FEMORAL BYPASS GRAFT","ANESTH ARM-LEG VESSEL SURG"
"1670","Anesthesia for all procedures on veins of shoulder and axilla","ANESTHESIA VEINS SHOULDER & AXILLA","ANESTH SHOULDER VEIN SURG"
"1680","Anesthesia for shoulder cast application, removal or repair; not otherwise specified","ANES SHOULDER CAST APPL REMOVAL/REPAIR NOS","ANESTH SHOULDER CASTING"
"1682","Anesthesia for shoulder cast application, removal or repair; shoulder spica","ANES SHOULDER SPICA APPLICATION REMOVAL/REPAIR","ANESTH AIRPLANE CAST"
"1710","Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; not otherwise specified","ANES NRV MUSC TDN FSCA&BRS UPR ARM/ELBOW NOS","ANESTH ELBOW AREA SURGERY"
"1712","Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenotomy, elbow to shoulder, open","ANESTHESIA OPEN TENOTOMY ELBOW TO SHOULDER","ANESTH UPPR ARM TENDON SURG"
"1714","Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenoplasty, elbow to shoulder","ANESTHESIA TENOPLASTY ELBOW TO SHOULDER","ANESTH UPPR ARM TENDON SURG"
"1716","Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenodesis, rupture of long tendon of biceps","ANESTHESIA BICEPS TENODESIS RUPTURE LONG TENDON","ANESTH BICEPS TENDON REPAIR"
"1730","Anesthesia for all closed procedures on humerus and elbow","ANESTHESIA CLOSED PROCEDURES HUMERUS & ELBOW","ANESTH UPPR ARM PROCEDURE"
"1732","Anesthesia for diagnostic arthroscopic procedures of elbow joint","ANESTHESIA ELBOW JOINT DIAGNOSTIC ARTHROSCOPIC","ANESTH DX ELBOW ARTHROSCOPY"
"1740","Anesthesia for open or surgical arthroscopic procedures of the elbow; not otherwise specified","ANES OPEN/SURG ARTHROSCOPIC ELBOW PROC NOS","ANESTH UPPER ARM SURGERY"
"1742","Anesthesia for open or surgical arthroscopic procedures of the elbow; osteotomy of humerus","ANESTHESIA OPEN/SURG ARTHRS OSTEOTOMY HUMERUS","ANESTH HUMERUS SURGERY"
"1744","Anesthesia for open or surgical arthroscopic procedures of the elbow; repair of nonunion or malunion of humerus","ANES OPEN/SURG ARTHRS REPRS NON/MALUNION HUMERUS","ANESTH HUMERUS REPAIR"
"1756","Anesthesia for open or surgical arthroscopic procedures of the elbow; radical procedures","ANESTHESIA OPEN/SURG ARTHRS RADICAL PROC ELBOW","ANESTH RADICAL HUMERUS SURG"
"1758","Anesthesia for open or surgical arthroscopic procedures of the elbow; excision of cyst or tumor of humerus","ANESTH OPEN/SURG ARTHRS EXC CYST/TUMOR HUMERUS","ANESTH HUMERAL LESION SURG"
"1760","Anesthesia for open or surgical arthroscopic procedures of the elbow; total elbow replacement","ANESTH OPEN/SURG ARTHRS TOTAL ELBOW REPLACEMENT","ANESTH ELBOW REPLACEMENT"
"1770","Anesthesia for procedures on arteries of upper arm and elbow; not otherwise specified","ANESTHESIA ARTERIES UPPER ARM & ELBOW NOS","ANESTH UPPR ARM ARTERY SURG"
"1772","Anesthesia for procedures on arteries of upper arm and elbow; embolectomy","ANESTHESIA ARTERIES UPPER ARM&ELBOW EMBOLECTOMY","ANESTH UPPR ARM EMBOLECTOMY"
"1780","Anesthesia for procedures on veins of upper arm and elbow; not otherwise specified","ANESTH CLOSED PROC RADIUS ULNA WRIST/HAND BONES","ANESTH UPPER ARM VEIN SURG"
"1782","Anesthesia for procedures on veins of upper arm and elbow; phleborrhaphy","ANESTHESIA VEINS UPPER ARM&ELBOW PHLEBORRHAPHY","ANESTH UPPR ARM VEIN REPAIR"
"1810","Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand","ANES NERVE MUSCLE TDN FSCA&BRS F/ARM WRST&HAND","ANESTH LOWER ARM SURGERY"
"1820","Anesthesia for all closed procedures on radius, ulna, wrist, or hand bones","ANES RADIUS ULNA WRIST/HAND BONES CLOSED PX","ANESTH LOWER ARM PROCEDURE"
"1829","Anesthesia for diagnostic arthroscopic procedures on the wrist","ANESTHESIA DIAGNOSTIC ARTHROSCOPIC PROC WRIST","ANESTH DX WRIST ARTHROSCOPY"
"1830","Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; not otherwise specified","ANES ARTHRS/ENDSCPY DSTL RADIUS ULNA/WRIST/HAND","ANESTH LOWER ARM SURGERY"
"1832","Anesthesia for open or surgical arthroscopic/endoscopic procedures on distal radius, distal ulna, wrist, or hand joints; total wrist replacement","ANESTHESIA ARTHRS/ENDOSCPIC TOTAL WRIST REPLCMT","ANESTH WRIST REPLACEMENT"
"1840","Anesthesia for procedures on arteries of forearm, wrist, and hand; not otherwise specified","ANESTHESIA ARTERIES FOREARM WRIST & HAND NOS","ANESTH LWR ARM ARTERY SURG"
"1842","Anesthesia for procedures on arteries of forearm, wrist, and hand; embolectomy","ANES ARTERIES FOREARM WRIST&HAND EMBOLECTOMY","ANESTH LWR ARM EMBOLECTOMY"
"1844","Anesthesia for vascular shunt, or shunt revision, any type (eg, dialysis)","ANESTHESIA VASCULAR SHUNT/SHUNT REVISION","ANESTH VASCULAR SHUNT SURG"
"1850","Anesthesia for procedures on veins of forearm, wrist, and hand; not otherwise specified","ANESTHESIA VEINS FOREARM WRIST & HAND NOS","ANESTH LOWER ARM VEIN SURG"
"1852","Anesthesia for procedures on veins of forearm, wrist, and hand; phleborrhaphy","ANES VEINS FOREARM WRIST&HAND PHLEBORRHAPHY","ANESTH LWR ARM VEIN REPAIR"
"1860","Anesthesia for forearm, wrist, or hand cast application, removal, or repair","ANES FOREARM WRIST/HAND CAST APPL RMVL/REPAIR","ANESTH LOWER ARM CASTING"
"1916","Anesthesia for diagnostic arteriography/venography","ANESTHESIA DIAGNOSTIC ARTERIOGRAPHY/VENOGRAPH","ANESTH DX ARTERIOGRAPHY"
"1920","Anesthesia for cardiac catheterization including coronary angiography and ventriculography (not to include Swan-Ganz catheter)","ANES C-CATHJ W/C ANGIOGRAPHY&VENTRICULOGRAPHY","ANESTH CATHETERIZE HEART"
"1922","Anesthesia for non-invasive imaging or radiation therapy","ANES NON-INVASIVE IMAGING/RADIATION THERAPY","ANESTH CAT OR MRI SCAN"
"1924","Anesthesia for therapeutic interventional radiological procedures involving the arterial system; not otherwise specified","ANESTHESIA THER IVNTL RADIOLOGICAL ARTERIAL","ANES THER INTERVEN RAD ART"
"1925","Anesthesia for therapeutic interventional radiological procedures involving the arterial system; carotid or coronary","ANESTHESIA CAROTID/CORONARY THER IVNTL RAD","ANES THER INTERVEN RAD CAR"
"1926","Anesthesia for therapeutic interventional radiological procedures involving the arterial system; intracranial, intracardiac, or aortic","ANES ICRA ICAR/AORTIC THER IVNTL RAD ARTL","ANES TX INTERV RAD HRT/CRAN"
"1930","Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); not otherwise specified","ANES VENOUS/LYMPHATIC NOS THER IVNTL RAD NOS","ANES THER INTERVEN RAD VEI"
"1931","Anesthesia for therapeutic interventional radiological procedures involving the venous/lymphatic system (not to include access to the central circulation); intrahepatic or portal circulation (eg, transvenous intrahepatic portosystemic shunt[s] [TIPS])","ANESTHESIA INTRAHEPATIC/PORTAL THER IVNTL RAD","ANES THER INTERVEN RAD TIP"
